년도,연번,시설명,인증구분,인증서 번호,인증 기간,인증등급,"도,시",시군구,비고
2018,6,반송1동 경로당,예비인증,제2119호,'18.2.21.～'23.2.20.,우수,부산광역시,해운대구,공공
2018,7,김해서부소방서,예비인증,제2120호,'18.2.21.～'23.2.20.,우수,경상남도,김해시,공공
2018,8,신촌 청년문화전진기지,예비인증,제2140호,'18.2.27.～'23.2.26.,우수,서울특별시,서대문구,공공
2018,9,김포경찰서 마산파출소,예비인증,제2141호,'18.2.27.～'23.2.26.,우수,경기도,김포시,공공
2018,10,행복모아 장애인표준사업장,본인증,제613호,'18.3.6.～'23.3.5.,최우수,충청북도,청주시,민간
2018,11,성동소방서,본인증,제626호,'18.3.16.～'23.3.15.,우수,서울특별시,성동구,공공
2018,12,경주시 차량등록사업소 및 공용차고지 사무실,예비인증,제2181호,'18.3.19.～'23.3.18.,우수,경상북도,경주시,공공
2018,13,도로시설관리소,예비인증,제2182호,'18.3.19.～'23.3.18.,우수,충청남도,서산시,공공
2018,14,양촌면 거사2리 경로당,본인증,제632,'18.3.19.～'23.3.18.,우수,충청남도,논산시,공공
2018,15,"외동생활체육공원(운동시설, 공중화장실)",예비인증,제2183호,'18.3.20.～'23.3.19.,우수,경상북도,경주시,공공
2018,16,박달2동 경로당,예비인증,제2184호,'18.3.20.～'23.3.19.,우수,경기도,안양시,공공
2018,17,해운대구 장애인복지관,예비인증,제2204호,'18.3.27.～'23.3.26.,최우수,부산광역시,해운대구,공공
2018,18,곤지암읍 농촌중심지활성화사업 다목적회관,예비인증,제2205호,'18.3.27.～'23.3.26.,우수,경기도,광주시,공공
2018,19,찬내 어르신쉼터(청림동 어르신쉼터),본인증,제645호,'18.3.27.～'23.3.26.,우수,경상북도,포항시,공공
2018,20,해운대구 육아종합지원센터 및 공립어린이집,본인증,제646호,'18.3.27.～'23.3.26.,우수,부산광역시,해운대구,공공
2018,21,남원1리 신성동회관,본인증,제654호,'18.3.28.～'23.3.27.,우수,제주특별자치도,서귀포시,공공
2018,22,적금보건진료소,본인증,제655호,'18.3.28.～'23.3.27.,우수,전라남도,여수시,공공
2018,23,창업벤처기업 보육공간,예비인증,제2213호,'18.3.28.～'23.3.27.,우수,세종특별자치시,조치원읍,공공
2018,24,관산리 체육공원 공중화장실,본인증,제660호,'18.4.2.～'23.4.1.,우수,충청남도,청양군,공공
2018,25,을숙도 체육시설(스쿼시전용경기장),예비인증,제2238호,'18.4.9.～'23.4.8.,우수,부산광역시,사하구,공공
2018,26,울산북부경찰서,예비인증,제2239호,'18.4.9.～'23.4.8.,우수,울산광역시,북구,공공
2018,27,원리119지역대,예비인증,제2249호,'18.4.13.～'23.4.12.,일반,세종특별자치시,조치원읍,공공
2018,28,일산복개천 공영주차장,예비인증,제2250호,'18.4.13.～'23.4.12.,우수,울산광역시,동구,공공
2018,29,광천보건진료소,본인증,제671호,'18.4.13.～'23.4.12.,우수,경상남도,남해군,공공
2018,30,송도보건진료소,본인증,제678호,'18.4.17.～'23.4.16.,우수,전라남도,여수시,공공
2018,31,남해군 공공승마장,예비인증,제2262호,'18.4.19.～'23.4.18.,우수,경상남도,남해군,공공
2018,32,석전 재개발지역 경로당,예비인증,제2267호,'18.4.24.～'23.4.23.,우수,경상남도,창원시,공공
2018,33,귀아랑경로당,예비인증,제2268호,'18.4.24.～'23.4.23.,우수,제주특별자치도,제주시,공공
2018,34,간석자유시장주변구역 주민공동이용시설,예비인증,제2271호,'18.4.25.～'23.4.24.,우수,인천광역시,남동구,공공
2018,35,삼남 중방경로당,본인증,제697호,'18.5.2.～'23.5.1.,우수,울산광역시,울주군,공공
2018,36,금산 작은영화관 및 문화다방,예비인증,제2298호,'18.5.4.～'23.5.3.,일반,충청남도,금산군,공공
2018,37,기장군 노인회관,예비인증,제2309호,'18.5.9.～'23.5.8.,우수,부산광역시,기장군,공공
2018,38,"칠곡 공설운동장(본부석, 화장실)",예비인증,제2310호,'18.5.9.～'23.5.8.,우수,경상남도,의령군,공공
2018,39,본리동경로당,예비인증,제2311호,'18.5.9.～'23.5.8.,우수,대구광역시,달서구,공공
